St  Name                           Version                        Arch   Description                                                  Licenses
ii  libcap2:armhf                  1:2.25-1                       armhf  POSIX 1003.1e capabilities (library)                         BSD-3-clause BSD-3-clause or GPL-2 BSD-3-clause or GPL-2+ GPL-2 GPL-2+
ii  libcap2-bin                    1:2.25-1                       armhf  POSIX 1003.1e capabilities (utilities)                       BSD-3-clause BSD-3-clause or GPL-2 BSD-3-clause or GPL-2+ GPL-2 GPL-2+
ii  libcc1-0:armhf                 6.3.0-18+rpi1+deb9u1           armhf  GCC cc1 plugin for GDB                                       Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libcdio-cdda1:armhf            0.83-4.3                       armhf  library to read and control digital audio CDs                GFDL GPL
ii  libcdio-paranoia1:armhf        0.83-4.3                       armhf  library to read digital audio CDs with error correction      GFDL GPL
ii  libcdio13:armhf                0.83-4.3                       armhf  library to read and control CD-ROM                           GFDL GPL
ii  libchromaprint1:armhf          1.4.2-1                        armhf  audio fingerprint library                                    BSD-3-clause Expat LGPL-2.1+
ii  libcomerr2:armhf               1.43.4-2+deb9u2                armhf  common error description library                             unknown
ii  libcryptsetup4:armhf           2:1.7.3-4                      armhf  disk encryption support - shared library                     GPL-2+ LGPL-2.1+ public-domain
ii  libcurl3:armhf                 7.52.1-5+deb9u13               armhf  easy-to-use client-side URL transfer library (OpenSSL flavou BSD-3-Clause BSD-4-Clause ISC curl other public-domain
ii  libcurl3-gnutls:armhf          7.52.1-5+deb9u13               armhf  easy-to-use client-side URL transfer library (GnuTLS flavour BSD-3-Clause BSD-4-Clause ISC curl other public-domain
ii  libcwidget3v5:armhf            0.5.17-4                       armhf  high-level terminal interface library for C++ (runtime files GPL
ii  libdaemon0:armhf               0.14-6                         armhf  lightweight C library for daemons - runtime library          GPL-2 LGPL
ii  libdb5.3:armhf                 5.3.28-12+deb9u1               armhf  Berkeley v5.3 Database Libraries [runtime]                   unknown
ii  libdbus-1-3:armhf              1.10.32-0+deb9u1               armhf  simple interprocess messaging system (library)               AFL-2.1 BSD-3-clause BSD-3-clause-generic Expat GPL-2+ GPL-2+ or AFL-2.1 GPL-2+ or AFL-2.1, Tcl-BSDish g10-permissive
ii  libdc1394-22:armhf             2.2.5-1                        armhf  high level programming interface for IEEE 1394 digital camer GPL-2 LGPL-2.1
ii  libdebconfclient0:armhf        0.227                          armhf  Debian Configuration Management System (C-implementation lib public domain
ii  libdevmapper1.02.1:armhf       2:1.02.137-2                   armhf  Linux Kernel Device Mapper userspace library                 GPL-2 LGPL-2.1
ii  libdns-export162               1:9.10.3.dfsg.P4-12.3+deb9u8   armhf  Exported DNS Shared Library                                  unknown
ii  libdns162:armhf                1:9.10.3.dfsg.P4-12.3+deb9u8   armhf  DNS Shared Library used by BIND                              unknown
ii  libdpkg-perl                   1.18.25                        all    Dpkg perl modules                                            BSD-2-clause GPL-2 GPL-2+ public-domain-md5 public-domain-s-s-d
